prolific_id,condition,view_history,rt,run_id,trial_type,trial_index,time_elapsed,device,success,timeout,failed_images,failed_audio,failed_video,stimulus,response,exemplar_name,exemplar_img,extension_left_img,extension_center_img,extension_right_img,question_order,slider_start
143,37,"[{""page_index"":0,""viewing_time"":2411}]",2412,1,instructions,0,2413,Macintosh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,37,NA,NA,1,fullscreen,1,4775,Macintosh,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,37,"[{""page_index"":0,""viewing_time"":1184}]",1185,1,instructions,2,5961,Macintosh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,37,NA,NA,1,preload,3,7400,Macintosh,TRUE,FALSE,[],[],[],NA,NA,NA,NA,NA,NA,NA,NA,NA
143,37,NA,null,1,html-button-response,4,12403,Macintosh,NA,NA,NA,NA,NA,"<p>This is a coba.</p> 
<img src=""red_crepe_snowman_exemplar.png"" height=""300"" width=""300""></img>",null,coba,red_crepe_snowman_exemplar.png,NA,NA,NA,NA,NA
143,37,NA,NA,1,preload,5,12406,Macintosh,TRUE,FALSE,[],[],[],NA,NA,NA,NA,NA,NA,NA,NA,NA
143,37,NA,3266,1,html-button-response,6,15673,Macintosh,NA,NA,NA,NA,NA,"<p>This is a coba.</p> 
<img src=""red_crepe_snowman_exemplar.png"" height=""300"" width=""300""></img>
<p>One of these is also a coba.</p>",1,NA,NA,red_foam_arch_extension.png,yellow_yarn_snowman_extension.png,blue_crepe_lamp_extension.png,NA,NA
143,37,NA,7089,1,survey-text,7,22764,Macintosh,NA,NA,NA,NA,NA,NA,"{""extensionLeftImg_exemplar_commonalities"":""the color red""}",NA,red_crepe_snowman_exemplar.png,red_foam_arch_extension.png,NA,NA,NA,NA
143,37,NA,6140,1,survey-text,8,28906,Macintosh,NA,NA,NA,NA,NA,NA,"{""extensionCenterImg_exemplar_commonalities"":""their shape""}",NA,red_crepe_snowman_exemplar.png,NA,yellow_yarn_snowman_extension.png,NA,NA,NA
143,37,NA,14100,1,survey-text,9,43006,Macintosh,NA,NA,NA,NA,NA,NA,"{""extensionRightImg_exemplar_commonalities"":""the material they are made out of""}",NA,red_crepe_snowman_exemplar.png,NA,NA,blue_crepe_lamp_extension.png,NA,NA
143,37,"[{""page_index"":0,""viewing_time"":2653}]",2653,1,instructions,10,45661,Macintosh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,37,NA,2357,1,survey-text,11,48027,Macintosh,NA,NA,NA,NA,NA,NA,"{""Age"":""20""}",NA,NA,NA,NA,NA,NA,NA
143,37,NA,6057,1,survey-multi-choice,12,54086,Macintosh,NA,NA,NA,NA,NA,NA,"{""BornUSA"":""Yes"",""ChildhoodUSA"":""Yes"",""CurrentUSA"":""Yes""}",NA,NA,NA,NA,NA,"[0,1,2]",NA
143,37,NA,20702,1,survey-text,13,74803,Macintosh,NA,NA,NA,NA,NA,NA,"{""CurrentZipcode"":""352"",""ChildhoodZipcode"":""352""}",NA,NA,NA,NA,NA,NA,NA
143,37,NA,7738,1,survey-text,14,82549,Macintosh,NA,NA,NA,NA,NA,NA,"{""FirstLanguage"":""English"",""AllLanguages"":""English""}",NA,NA,NA,NA,NA,NA,NA
143,37,NA,8267,1,html-slider-response,15,90817,Macintosh,NA,NA,NA,NA,NA,<p>How would you describe the location <b>where you currently live</b>?</p>,67,NA,NA,NA,NA,NA,NA,50
143,37,NA,8119,1,html-slider-response,16,98938,Macintosh,NA,NA,NA,NA,NA,"<p>How would you describe the location <b>where you grew up</b> (if multiple, choose the one that you spent the most time in before 18 years old)?</p>",62,NA,NA,NA,NA,NA,NA,50
143,37,"[{""page_index"":0,""viewing_time"":10423}]",10423,1,instructions,17,109365,Macintosh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,48,"[{""page_index"":0,""viewing_time"":3334}]",3334,10,instructions,0,3335,WebKit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,48,NA,NA,10,fullscreen,1,6344,WebKit,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,48,"[{""page_index"":0,""viewing_time"":2201}]",2201,10,instructions,2,8545,WebKit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,48,NA,NA,10,preload,3,9173,WebKit,TRUE,FALSE,[],[],[],NA,NA,NA,NA,NA,NA,NA,NA,NA
303,48,NA,null,10,html-button-response,4,14182,WebKit,NA,NA,NA,NA,NA,"<p>This is a coba.</p> 
<img src=""yellow_foam_lamp_exemplar.png"" height=""300"" width=""300""></img>",null,coba,yellow_foam_lamp_exemplar.png,NA,NA,NA,NA,NA
303,48,NA,NA,10,preload,5,14183,WebKit,TRUE,FALSE,[],[],[],NA,NA,NA,NA,NA,NA,NA,NA,NA
